Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
.hausformat GmbH,Aarau,https://www.swissmadesoftware.org/en/companies/-hausformat-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
08EINS AG,7000 Chur,https://softwarehaus.net/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
"1, 2, 3 Soleil SA",Bex,https://www.123-soleil.ch,Swissolar,1,Solar / energy,Route des Courtraits 30
1.618 Capital AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
1000 Sonnen-Dächer Swiss AG,Tägerwilen,https://www.1000-sonnen-daecher.ch,Swissolar,1,Solar / energy,Hauptstrasse 129
111united KLG - we dot,,https://www.swissmadesoftware.org/en/companies/111united-klg---we-dot/home.html,Swiss Made Software,1,Software,
1361 Solutions GmbH,Schänis,,swissICT,1,ICT / digital,
1741 Fund Solutions AG,St. Gallen,,FINMA,1,Regulated financial services,Fund management company; Representatives of foreign collective investment schemes (CISA)
1788 Capital S.A.,Genève,,FINMA,1,Regulated financial services,Portfolio manager
1875 Finance SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
1903 Capital SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
1L Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
1MED SA,Canton of Ticino,https://www.1med.ch/,Swiss Medtech,1,Medical technology,
1up AG,,https://www.swissmadesoftware.org/en/companies/1up-ag/home.html,Swiss Made Software,1,Software,
2 PM (Suisse) SA,Nyon,,FINMA,1,Regulated financial services,Portfolio manager
2C Advisors SARL,Genève,,FINMA,1,Regulated financial services,Portfolio manager
2communicate ag,Solothurn,https://www.2communicate.ch/,swisscleantech,1,Cleantech / energy,Kommunikation / Marketing / Werbung
2M Elektroplanung AG,Basel,https://2mgroup.ch,Swissolar,1,Solar / energy,Klybeckstrasse 141
2trade group ltd,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
2Weeks Group AG,,https://www.swissmadesoftware.org/en/companies/2weeks-group-ag/home.html,Swiss Made Software,1,Software,
2Xideas AG,Pfäffikon SZ,,FINMA,1,Regulated financial services,Manager of collective assets
3A Solar AG,Kreuzlingen,https://www.3a-solar.ch/,Swissolar,1,Solar / energy,Zelgstrasse 2
3D AG,,https://3dag.ch,Swissphotonics,1,Photonics / sensors / precision,
3D PRECISION SA,Delémont,https://www.3dprecision.ch,Swissmem,1,Industry / engineering,
3d-technology.ch SA,Sion,https://www.3d-technology.ch,Swissmem,1,Industry / engineering,
3E Elektro AG,Schlieren,https://3e-elektro.ch,Swissolar,1,Solar / energy,Grabenstrasse 1
3G elektroserv AG,Dübendorf,https://www.3g-elektroserv.ch,Swissolar,1,Solar / energy,Ringstr. 12
3HLE AUTOMATION & ROBOTIQUE SA,,https://www.swissmadesoftware.org/en/companies/3hle-automation---robotique-sa/home.html,Swiss Made Software,1,Software,
3M (Schweiz) GmbH,8803 Rüschlikon; Eggstrasse 91 8803 Rüschlikon,https://www.3mschweiz.ch,scienceindustries; Swico,2,ICT / consumer electronics; Pharma / biotech / chemistry,
3PLab GmbH,Zürich,https://3plab.ch/,swisscleantech,1,Cleantech / energy,
3S Swiss Solar Solutions AG,Bern; Gwatt/Thun,https://www.3s-solar.swiss,swisscleantech; Swissolar,2,Cleantech / energy; Solar / energy,Produktion / Industrie; Schorenstrasse 39
3T Biosciences Europe GmbH,,https://www.swissbiotech.org/listing/3t-biosciences-europe-gmbh/,Swiss Biotech Association,1,Biotech,
3T Family Office SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
3T Personal AG,4500 Solothurn,https://www.swissstaffing.ch/en/Members/index.php?id=38366,Swiss Staffing,1,Staffing / HR,
3V Asset Management AG,Schindellegi,,FINMA,1,Regulated financial services,Manager of collective assets
3Worlds AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
41medical,Canton of Solothurn,https://www.41medical.com/,Swiss Medtech,1,Medical technology,
42 Lausanne,,,digitalswitzerland,1,Digital economy,
42 Zürich,Renens VD,,swissICT,1,ICT / digital,
42Hacks,Appenzell Ausserrhoden,https://www.42hacks.com/,swisscleantech,1,Cleantech / energy,Mobilität / Transport / Logistik
42hacks mobility Genossenschaft,,http://www.42hacks.com,Swissrail,1,Rail / transport technology,
42talents GmbH,Zürich,https://www.swissmadesoftware.org/en/companies/42talents-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
42technology AG,Langenthal,https://www.42technology.ch,Swissmem,1,Industry / engineering,
47 Capital AG,Wollerau,,FINMA,1,Regulated financial services,Portfolio manager
47 Heritage AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
4Bases SA,,https://www.swissbiotech.org/listing/4bases-sa/,Swiss Biotech Association,1,Biotech,
4competence,Canton of Ticino,https://4competence.ch/,Swiss Medtech,1,Medical technology,
4D Montagen GmbH,Herzogenbuchsee,https://www.4dmontagen.ch,Swissolar,1,Solar / energy,Bernstrasse 7
4data AG,Zürich,,swissICT,1,ICT / digital,
4e CAPITAL AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
4e elektrotechnik ag,Chur,https://www.4-e.ch,Swissolar,1,Solar / energy,Ringstrasse 26
"4G Clinical B.V., Basel branch",,https://www.swissbiotech.org/listing/4g-clinical/,Swiss Biotech Association,1,Biotech,
4K-MEMS,,https://www.4kmems.ch,Swissphotonics,1,Photonics / sensors / precision,
4MEDX AG,Canton of Zurich,,Swiss Medtech,1,Medical technology,
4results AG,8808 Pfäffikon SZ,https://www.marketingautomation.tech/,Swico,1,ICT / consumer electronics,
5to9 AG,8808 Pfäffikon SZ,https://5to9.ch/,Swico,1,ICT / consumer electronics,
6C Tools AG,Dietlikon,https://www.6c-tools.ch,Swissmem,1,Industry / engineering,
720 AM SA,Châtelaine,,FINMA,1,Regulated financial services,Portfolio manager
7AlpsBio GmbH,,https://www.swissbiotech.org/listing/7alpsbio-gmbh/,Swiss Biotech Association,1,Biotech,
7s Medical AG,Canton of Lucerne,https://www.7smedical.com/,Swiss Medtech,1,Medical technology,
8 WEEKS GmbH,,https://www.swissmadesoftware.org/en/companies/8-weeks-gmbh/home.html,Swiss Made Software,1,Software,
89grad GmbH,,https://www.swissmadesoftware.org/en/companies/89grad-gmbh/home.html,Swiss Made Software,1,Software,
8photonics GmbH,,https://www.8photonics.com,Swissphotonics,1,Photonics / sensors / precision,
9T Labs AG,,https://swiss-aerospace-cluster.ch/portfolio-item/9tlabs/,Swiss Aerospace Cluster,1,Aerospace / engineering,
A - Round Investment SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
A eins Personal AG,3072 Bern,https://www.swissstaffing.ch/en/Members/index.php?id=12145,Swiss Staffing,1,Staffing / HR,
A&T Alpha Credit SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
A+B Bürsten-Technik AG,Wattwil,http://www.buersten-technik.ch/,Swissmechanic,1,Industry / SMEs,"A+B Bürsten-Technik AG, Bleikenstrasse 92, 9630 Wattwil"
a+G Personal AG,2501 Biel/Bienne,https://www.swissstaffing.ch/en/Members/index.php?id=18427,Swiss Staffing,1,Staffing / HR,
a-metal AG,Zürich,https://www.a-metal.com,Swissmem,1,Industry / engineering,
A-Plan GmbH,5330 Zurzach,https://www.swissstaffing.ch/en/Members/index.php?id=16272,Swiss Staffing,1,Staffing / HR,
A-reha SA,Canton of Vaud,https://a-reha.ch/,Swiss Medtech,1,Medical technology,
A. & J. Stöckli AG,Netstal,https://www.stockli.ch,Swissmem,1,Industry / engineering,
A. Aubry AG,Grenchen,http://www.aaubry.ch/,Swissmechanic,1,Industry / SMEs,"A. Aubry AG, Lebernstrasse 42, 2540 Grenchen"
A. Baggenstos & Co. AG,8304 Wallisellen,https://www.baggenstos.ch/,Swico,1,ICT / consumer electronics,
A. Graf Elektro-Installationen AG,Romanshorn,https://www.elektrograf.ch,Swissolar,1,Solar / energy,Kreuzlingerstrasse 19
A. Gubler GmbH,Steinhausen,https://www.agubler.ch/,Swissmechanic,1,Industry / SMEs,"A. Gubler GmbH, Sumpfstrasse 28, 6312 Steinhausen"
A. Jäggi AG,Fulenbach,http://www.jaeggi-ag.ch/,Swissmechanic,1,Industry / SMEs,"A. Jäggi AG, Härkingerstrasse 20, 4629 Fulenbach"
A. Kuster AG,Weinfelden,https://www.a-kuster.ch,Swissolar,1,Solar / energy,Deucherstrasse 34
A. Menarini GmbH,Thurgauerstrasse 36/38 8050 Zürich,https://www.menarini.ch,scienceindustries,1,Pharma / biotech / chemistry,
A. Merki AG,Jona,http://www.merki-ag.ch/,Swissmechanic,1,Industry / SMEs,"A. Merki AG, Buechstrasse 8, 8645 Jona"
A. Röthlisberger AG,Wangen an der Aare,http://www.ar-ag.ch/,Swissmechanic,1,Industry / SMEs,"A. Röthlisberger AG, Zeughausstrasse 19, 3380 Wangen an der Aare"
A. Wüthrich Maschinen + Mechanik AG,Wolhusen,http://www.wuethrich-mechanik.ch/,Swissmechanic,1,Industry / SMEs,"A. Wüthrich Maschinen + Mechanik AG, Buholzstrasse 16, 6110 Wolhusen"
A.J.K. Wealth Management (Schweiz) AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
A.M. Family Office SA,Locarno,,FINMA,1,Regulated financial services,Portfolio manager
A1 + Asset Management SA,Givrins,,FINMA,1,Regulated financial services,Portfolio manager
A4personal AG,5430 Wettingen; 6900 Lugano-Paradiso,https://www.swissstaffing.ch/en/Members/index.php?id=23362,Swiss Staffing,1,Staffing / HR,
A777 Gartengestaltung,Zürich,http://www.a777.ch,swisscleantech,1,Cleantech / energy,Produktion / Industrie
AAA Vermögensverwaltung Wiggenhauser,Bülach,,FINMA,1,Regulated financial services,Portfolio manager
AAAC GmbH - Architektur Atelier Adrian Christen,Bern,http://architektur-aac.ch,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
AarauInvest AG,Aarau,,FINMA,1,Regulated financial services,Portfolio manager
Aare Elektroplan AG,Oltern,https://www.aepag.ch,Swissolar,1,Solar / energy,Aarauerstrasse 180
Aareplast AG,,https://www.aareplast.ch,Swissrail,1,Rail / transport technology,
Aargatec GmbH,Lenzburg,https://aargatec.ch,Swissolar,1,Solar / energy,Dammweg 17
Aargauische Kantonalbank,5001 Aarau; Aarau; Aarau 1,http://www.akb.ch/,FINMA; Swiss Banking; swissICT,3,Banking; ICT / digital; Regulated financial services,Bank
AarPower AG,Brugg,https://aarpower.ch,Swissolar,1,Solar / energy,Aarauerstrasse 51
Aartech GmbH,Canton of Aargau; Kleindöttingen,https://www.aartech.ch/,Swiss Medtech; Swissmem,2,Industry / engineering; Medical technology,
Aartesys AG,Bern,http://www.aartesys.ch/,swisscleantech,1,Cleantech / energy,EDV / IT / Telekommunikation
AB Chauffages Services SA,Meinier,https://www.abchauffages.ch,Swissolar,1,Solar / energy,35 Route de Compois
AB NETCOM A.Breig,Weiach,https://www.ab-netcom.ch,Swissolar,1,Solar / energy,Im See 16
Abacus Business Solutions AG,Thalwil,,swissICT,1,ICT / digital,
Abacus Research AG,9300 Wittenbach; Wittenbach,https://www.abacus.ch,Swico; Swiss Made Software; Swissmechanic,3,ICT / consumer electronics; Industry / SMEs; Software,"ABACUS Research AG, Abacus-Platz 1, 9300 Wittenbach"
Abalone Switzerland SA,1215 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=39087,Swiss Staffing,1,Staffing / HR,
"Abalone Switzerland SA, succursale de Lausanne",1003 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=40737,Swiss Staffing,1,Staffing / HR,
"ABANCA CORPORACION BANCARIA S.A., Betanzos, représentation de Zurich",Zürich,,FINMA,1,Regulated financial services,Foreign bank representative office
"ABANCA CORPORACION BANCARIA S.A., Betanzos, succursale de Genève",1201 Genève; Genève 1,https://www.abancacorporacionbancaria.com/en/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Foreign bank branch office
Abaris Investment Management AG,Bäch SZ,,FINMA,1,Regulated financial services,Manager of collective assets
ABARISK S.A.,Romanel-sur-Lausanne,http://www.abarisk.ch/,Swissmechanic,1,Industry / SMEs,"ABARISK S.A., Chemin du Marais 6, 1032 Romanel-sur-Lausanne"
ABB Capital AG,Zürich,,Swissmem,1,Industry / engineering,
ABB E-mobility AG,Baden,,Swissmem,1,Industry / engineering,
ABB Kinderkrippen,Baden,,Swissmem,1,Industry / engineering,
ABB Ltd.,Zürich,,swissICT,1,ICT / digital,
ABB Reinsurance AG,Zürich,,FINMA,1,Regulated financial services,reinsurance captive
ABB Robotics Schweiz AG,Zürich,,Swissmem,1,Industry / engineering,
ABB Schweiz AG,Aargau; Baden; Schaffhausen,https://www.abb.com,asut; swisscleantech; Swissmem; Swissrail,4,Cleantech / energy; Industry / engineering; Rail / transport technology; Telecom / digital infrastructure,"Energiewirtschaft, Maschinen- / Anlagebau, Produktion / Industrie"
ABB Svizzera SA,Quartino,https://www.abb.com/ups,Swissmem,1,Industry / engineering,
ABB Technikerschule,Aargau; Baden,https://www.abbts.ch,swisscleantech; Swissmem; Swissolar,3,Cleantech / energy; Industry / engineering; Solar / energy,Wiesenstrasse 26
ABB Unterstützungsfonds,Zürich,,Swissmem,1,Industry / engineering,
ABBF Bausoft AG,,https://www.swissmadesoftware.org/en/companies/abbf-bausoft-ag/home.html,Swiss Made Software,1,Software,
Abbmira Therapeutics AG,,https://www.swissbiotech.org/listing/abbmira-therapeutics-ag-ltd/,Swiss Biotech Association,1,Biotech,
Abbott,Canton of Zug,https://www.abbott.ch/,Swiss Medtech,1,Medical technology,
ABBR Aktiengesellschaft,Buchs SG,,FINMA,1,Regulated financial services,Portfolio manager
AbbVie AG,Alte Steinhauserstrasse 14 6330 Cham,https://www.abbvie.ch,Interpharma; scienceindustries,2,Pharma / biotech / chemistry; Research-based pharma,
abc biopply ag,,https://www.swissbiotech.org/listing/abc-biopply-ag/,Swiss Biotech Association,1,Biotech,
ABC Dental AG,Canton of Zurich,https://www.abcdental.ch/,Swiss Medtech,1,Medical technology,
ABC Interim SA,1400 Yverdon-les-Bains; 1700 Fribourg,https://www.swissstaffing.ch/en/Members/index.php?id=36008,Swiss Staffing,1,Staffing / HR,
ABCD Antibodies SA,,https://www.swissbiotech.org/listing/abcd-antibodies-sa/,Swiss Biotech Association,1,Biotech,
abcDNA GmbH,,https://www.swissbiotech.org/listing/abcdna-gmbh/,Swiss Biotech Association,1,Biotech,
ABclic Informatique SA,,https://www.swissmadesoftware.org/en/companies/abclic-informatique/home.html,Swiss Made Software,1,Software,
"Abegg & Co AG, Zürich",Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
abegglen.net GmbH,,https://www.swissmadesoftware.org/en/companies/abegglen.net-gmbh/home.html,Swiss Made Software,1,Software,
AbelArti Groupe SA,Gland,https://abelarti.ch,Swissolar,1,Solar / energy,Chemin du Vernay 72
Abeloo SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
ABF Informatik AG,,https://www.swissmadesoftware.org/en/companies/abf-informatik-ag/home.html,Swiss Made Software,1,Software,
"ABG Sundal Collier ASA, Oslo, vertreten durch ABG Sundal Collier AG, Luzern",Luzern,,FINMA,1,Regulated financial services,Foreign securities firm representative office
ABIDA GROUP SA,Canton of Ticino,https://www.abida.ch/,Swiss Medtech,1,Medical technology,
Abiomed Europe GmbH,Canton of Zug,https://www.abiomed.de/,Swiss Medtech,1,Medical technology,
Abionic SA,Canton of Vaud,https://www.abionic.com/,Swiss Medtech,1,Medical technology,
Abnox AG,Cham,https://www.abnox.com,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"ABNOX AG, Langackerstrasse 25, 6330 Cham"
Abologix Sàrl,,https://www.swissbiotech.org/listing/abologix-sarl/,Swiss Biotech Association,1,Biotech,
Abrantix AG,Zürich,,swissICT,1,ICT / digital,
Abraxas Informatik AG,8058 Zürich; 9001 St. Gallen; Zürich-Flughafen,https://www.abraxas.ch/de,Swico; Swiss Made Software; swissICT,3,ICT / consumer electronics; ICT / digital; Software,
ABRIAS Investment Management AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
ABS Absturzsicherung AG,Baden-Dättwil,https://abs-absturzsicherung.ch,Swissolar,1,Solar / energy,Im Grund 15
ABS Broker Service AG,,https://swiss-aerospace-cluster.ch/portfolio-item/abs-broker-service-ag/,Swiss Aerospace Cluster,1,Aerospace / engineering,
ABT Associazione Bancaria Ticinese,6943 Vezia,http://www.abti.ch/,Swiss Banking,1,Banking,
Abts & De Maertelaere GmbH,Zug,,FINMA,1,Regulated financial services,Portfolio manager
AC Immune SA,,https://www.swissbiotech.org/listing/ac-immune-sa/,Swiss Biotech Association,1,Biotech,
AC Networks SA,Chavannes-Renens,,Swissmem,1,Industry / engineering,
AC/DC Solar+Elektro GmbH,Neudorf,https://www.solarundelektro.ch/,Swissolar,1,Solar / energy,Chilematte 10
Academic Work Switzerland AG,1003 Lausanne; 1205 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=31115,Swiss Staffing,1,Staffing / HR,
Acano AG,,http://www.acano.ch,asut,1,Telecom / digital infrastructure,
ACATIS Fair Value Investment AG,Walzenhausen,,FINMA,1,Regulated financial services,Portfolio manager
ACBio Marketing Consulting Sagl,,https://www.swissbiotech.org/listing/acbio-marketing-consulting-sagl/,Swiss Biotech Association,1,Biotech,
acc solutions AG,,https://www.swissmadesoftware.org/en/companies/acc-solutions-ag/home.html,Swiss Made Software,1,Software,
Acceleris Academy SA,1204 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=30935,Swiss Staffing,1,Staffing / HR,
Acceliox of SwissSoftware.Group,,https://www.swissmadesoftware.org/en/companies/acceliox-of-swisssoftware.group/home.html,Swiss Made Software,1,Software,
Accelleron Industries AG,Keiner,https://accelleron-industries.com/,swisscleantech,1,Cleantech / energy,Produktion / Industrie
Accelleron Schweiz AG,Baden,https://accelleron-industries.com/,Swissmem,1,Industry / engineering,
Accelsiors AG,,https://www.swissbiotech.org/listing/accelsiors-ag-2/,Swiss Biotech Association,1,Biotech,
Accenture AG,8152 Glattbrugg; Canton of Zurich; Zürich,https://www.accenture.com/ch-e,digitalswitzerland; Swico; Swiss Medtech; swisscleantech; swissICT; Swissrail,6,Cleantech / energy; Digital economy; ICT / consumer electronics; ICT / digital; Medical technology; Rail / transport technology,Beratung / Consulting
Accès Personnel SA,1005 Lausanne; 1227 les Acacias - Genève; 1630 Bulle; 1920 Martigny,https://www.swissstaffing.ch/en/Members/index.php?id=29500,Swiss Staffing,1,Staffing / HR,
Access Personalberatung GmbH,4055 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=31257,Swiss Staffing,1,Staffing / HR,
Accesstech AG,Canton of Lucerne,https://www.accesstech.ch/,Swiss Medtech,1,Medical technology,
ACCOM électricité-télématique Sàrl,Neuchâtel,https://www.accom-electro.ch,Swissolar,1,Solar / energy,Rue des Battieux 21
Accounto AG,8004 Zürich; Zürich,https://www.accounto.io/,Swico; swissICT,2,ICT / consumer electronics; ICT / digital,
ACCRESCO Investment AG,Arlesheim,,FINMA,1,Regulated financial services,Portfolio manager
Accumed Sagl,Canton of Ticino,https://www.accumed.eu/,Swiss Medtech,1,Medical technology,
ACCURATE WEALTH MANAGEMENT SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Accuratus AG,Canton of Bern,https://www.accuratus.ch/,Swiss Medtech,1,Medical technology,
Accuro Trust (Switzerland) SA,Grand-Lancy,,FINMA,1,Regulated financial services,Trustee
ACE & COMPANY SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets; Representatives of foreign collective investment schemes (CISA)
ACE digital solutions ag,,https://www.swissmadesoftware.org/en/companies/ace-digital-solutions-ag/home.html,Swiss Made Software,1,Software,
ACE information technology ag,Bern,http://www.ace.ch,asut; swisscleantech,2,Cleantech / energy; Telecom / digital infrastructure,EDV / IT / Telekommunikation
ACE TRUSTEES SA,Genève,,FINMA,1,Regulated financial services,Trustee
Acentix AG,Ziegelbrücke,,swissICT,1,ICT / digital,
Acer Europe SA,6934 Bioggio,https://www.acer.com/ch-de/,Swico,1,ICT / consumer electronics,
ACERTIEL Sàrl,Bulle,https://www.acertiel.ch,Swissolar,1,Solar / energy,Rue de Vuippens 34
ACG Advisors (UK) LLP - Rappresentanza di Lugano,Lugano,,FINMA,1,Regulated financial services,Foreign securities firm representative office
ACG Advisors AG,Zürich,,swissICT,1,ICT / digital,
Achermann AG Sanitär Heizung Solar,Oberdorf,http://www.achermann.net,Swissolar,1,Solar / energy,Aawasserstrasse 2
Acheter-Louer.ch & Publimmo Sàrl,,https://www.swissmadesoftware.org/en/companies/acheter-louer.ch/home.html,Swiss Made Software,1,Software,
Achieva Group (Switzerland) GmbH,8583 Sulgen,https://www.swissstaffing.ch/en/Members/index.php?id=32440,Swiss Staffing,1,Staffing / HR,
achtfach GmbH,,https://www.swissmadesoftware.org/en/companies/achtfach-gmbh/home.html,Swiss Made Software,1,Software,
achtpunkt GmbH,,https://www.swissmadesoftware.org/en/companies/achtpunkt-gmbh/home.html,Swiss Made Software,1,Software,
Acino International AG,Thurgauerstrasse 36/38 8050 Zürich,https://,scienceindustries,1,Pharma / biotech / chemistry,
Acino Pharma AG,Birsweg 2 4253 Liesberg,https://acino.swiss/,scienceindustries,1,Pharma / biotech / chemistry,
Ackermann AG,Düdingen,https://www.ackermannag.ch,Swissolar,1,Solar / energy,Chännelmattstrasse 11
ACM Biosciences AG,,https://www.swissbiotech.org/listing/acm-biosciences-ag/,Swiss Biotech Association,1,Biotech,
Acodis,,https://www.swissmadesoftware.org/en/companies/acodis/home.html,Swiss Made Software,1,Software,
Acolin Fund Services AG,Zürich,,FINMA,1,Regulated financial services,Representatives of foreign collective investment schemes (CISA)
Acorns GmbH,4612 Wangen b. Olten,https://www.swissstaffing.ch/en/Members/index.php?id=38166,Swiss Staffing,1,Staffing / HR,
ACR Wirtschaft und Vermögen AG,St. Gallen,,FINMA,1,Regulated financial services,Portfolio manager
acrevis Bank AG,9004 St. Gallen; St. Gallen,http://www.acrevis.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Acritec Sàrl,Estavayer-le-Lac,https://www.acritec.ch,Swissolar,1,Solar / energy,Le Piolet 28
ACROBiosystems,,https://www.swissbiotech.org/listing/acrobiosystems/,Swiss Biotech Association,1,Biotech,
Acryps AG,,https://www.swissmadesoftware.org/en/companies/acryps-ag/home.html,Swiss Made Software,1,Software,
acs ag,,https://www.swissmadesoftware.org/en/companies/acs-ag/home.html,Swiss Made Software,1,Software,
ACT Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
act Cleantech Agentur Schweiz,Zürich,https://act-schweiz.ch/,swisscleantech,1,Cleantech / energy,"Beratung / Consulting, Energiewirtschaft"
act Cleantech Solutions AG,Canton of Zurich,https://www.act-schweiz.ch/,Swiss Medtech,1,Medical technology,
Act1 Group - Agile1 Switzerland GmbH,8304 Wallisellen,https://www.swissstaffing.ch/en/Members/index.php?id=28905,Swiss Staffing,1,Staffing / HR,
Acta Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Actan AG,Luzern,,FINMA,1,Regulated financial services,Portfolio manager
Actieninvest AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Actif Service Intérim SA,1227 Les Acacias,https://www.swissstaffing.ch/en/Members/index.php?id=16256,Swiss Staffing,1,Staffing / HR,
activ solar Schweiz GmbH,Binz,https://www.activ-solar.ch,Swissolar,1,Solar / energy,Im Gassacher 2
ACTIV'GLASS - Issol Schweiz AG,Wilen b. Wollerau,https://www.issol.ch,Swissolar,1,Solar / energy,Hänggiwiesstrasse 5
Activa Personnel SA,1204 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=16045,Swiss Staffing,1,Staffing / HR,
Active Advisory Partners AG,Solothurn,,FINMA,1,Regulated financial services,Portfolio manager
Active Niche Funds SA,Lausanne,,FINMA,1,Regulated financial services,Manager of collective assets
active.personal AG,6300 Zug,https://www.swissstaffing.ch/en/Members/index.php?id=16958,Swiss Staffing,1,Staffing / HR,
Activen SA,,https://www.swissbiotech.org/listing/activen-sa/,Swiss Biotech Association,1,Biotech,
Activis Sàrl,1020 Renens,https://www.swissstaffing.ch/en/Members/index.php?id=40627,Swiss Staffing,1,Staffing / HR,
ACTUAL SWITZERLAND SA,1203 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=18585,Swiss Staffing,1,Staffing / HR,
"ACTUAL SWITZERLAND SA, succursale de la Vallée de Joux",1347 Le Sentier,https://www.swissstaffing.ch/en/Members/index.php?id=41906,Swiss Staffing,1,Staffing / HR,
"ACTUAL SWITZERLAND SA, succursale de Lausanne",1004 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=40517,Swiss Staffing,1,Staffing / HR,
Actum Digital GmbH,Canton of Zurich,https://www.actumdigital.com/de-CH,Swiss Medtech,1,Medical technology,
Actus Capital SA,Nyon,,FINMA,1,Regulated financial services,Portfolio manager
AcuMax Med AG,Canton of Aargau,https://www.acumax.ch/,Swiss Medtech,1,Medical technology,
Acumentum AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
ACUTRONIC Switzerland Ltd,Bubikon,https://www.acutronic.com,Swissmem,1,Industry / engineering,
Ad Astra Fiduciary SA,Lausanne,,FINMA,1,Regulated financial services,Trustee
AD Swiss Net AG,Canton of Zurich,https://www.ad-swiss.ch/,Swiss Medtech,1,Medical technology,
AD Système Sàrl,Curtilles,https://www.adsysteme.ch,Swissolar,1,Solar / energy,Ch. du Moulin 1
ADAEV,Le Sentier,http://www.valleedejoux.ch/,Swissmechanic,1,Industry / SMEs,"ADAEV, Route du Canal 18, 1347 Le Sentier"
Adaire Technology Services AG,Winterthur,,swissICT,1,ICT / digital,
Adamcares AG,,https://www.swissmadesoftware.org/en/companies/adamcares-ag/home.html,Swiss Made Software,1,Software,
Adams Berg SA,Paradiso,,FINMA,1,Regulated financial services,Portfolio manager
Adams Schweiz AG,Serneus,https://www.adams-armaturen.ch,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Adams Schweiz AG, Badstrasse 11, 7249 Serneus"
ADAPT Investment Managers SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
Adaptivv Financial Technologies AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Adato AG,8400 Winterthur,https://www.swissstaffing.ch/en/Members/index.php?id=24437,Swiss Staffing,1,Staffing / HR,
ADC Therapeutics SA,,https://www.swissbiotech.org/listing/adc-therapeutics-sa/,Swiss Biotech Association,1,Biotech,
Adcubum AG,St. Gallen,https://www.swissmadesoftware.org/en/companies/adcubum-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Addex Therapeutics Ltd,,https://www.swissbiotech.org/listing/addex-therapeutics-ltd/,Swiss Biotech Association,1,Biotech,
ADDVISION WEALTH MANAGEMENT SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
adebo AG,Solothurn,,swissICT,1,ICT / digital,
Adecco Group AG,8008 Zürich,https://www.swissstaffing.ch/en/Members/index.php?id=16482,Swiss Staffing,1,Staffing / HR,
Adecco Human Resources AG,2502 Biel; 3014 Bern; 3600 Thun; 3900 Brig; 4052 Basel; 4410 Liestal; 4502 Solothurn; 4603 Olten; 5001 Aarau; 5600 Lenzburg; 5610 Wohlen 2; 6005 Luzern; 6300 Zug; 7000 Chur; 8045 Zürich; 8060 Zürich - Airport; 8201 Schaffhausen; 8404 Winterthur; 8808 Pfäffikon SZ; 8953 Dietikon; 9000 St.Gallen; 9500 Wil,https://www.swissstaffing.ch/en/Members/index.php?id=15247,Swiss Staffing,1,Staffing / HR,
